title,link,description,pubDate
김병환 금융위원장 방미…&quot;바이오 투자·K금융 글로벌 지원&quot;,http://www.edaily.co.kr/news/newspath.asp?newsid=02948726642139072,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대 국가들의 대응으로 인한 인플레이션, 경기 위축 우려 등이 글로벌 금융 시장에 큰 영향을 미치고 있으며, 앞으로도 불확실성이 지속될 수 있다는 데 공감했다. 김... ",2025-04-23 12:01:00+09:00
기후공시 의무화 시기 늦춘다…스코프3 적용도 유예키로,https://www.etnews.com/20250423000082,김 부위원장은 “국내 자본시장에서도 주요국과 마찬가지로 지속가능성 공시가 필요한 상황”이라면서도 “<b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시수준 조정 움직임이 있는 만큼 관계기관과... ,2025-04-23 12:01:00+09:00
1조달러 운용 블랙스톤 회장 만난 김병환...&quot;블랙스톤 한국진출 고려&quot;,http://news.mt.co.kr/mtview.php?no=2025042310381587384,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있으며, 앞으로도 불확실성이 지속될 수 있다는 점에... ",2025-04-23 12:00:00+09:00
"김병환 금융위원장, MSCI에 &quot;선진국지수, 정당히 평가해달라&quot;",https://www.newsis.com/view/NISX20250423_0003150334,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있으며, 앞으로도 불확실성이 지속될 수 있다는 점에 공감했다.... ",2025-04-23 12:00:00+09:00
"김소영 &quot;지속가능성 공시, 최초 시행시기 논의&quot;",http://www.seoulfn.com/news/articleView.html?idxno=555341,"그러면서 &quot;다만, 최근 <b>상호관세</b>, 투자심리 악화 등 국내외 경제 전반의 불확실성이 상존하는 점과 주요국 공시수준 조정 움직임 등을 고려해 추진할 필요가 있다&quot;며 &quot;정부는 주요국 동향 변화를 면밀히 파악하는 한편... ",2025-04-23 12:00:00+09:00
"'바이오 벤처 생태계 비법은' 김병환 금융위원장, 美 보스톤클러스터 방...",https://www.newspim.com/news/view/20250423000390,"두 사람은 최근 미국과 상대국 간의 <b>상호관세</b> 부과로 불확실성을 논의하며, 한국 금융시장의 안정성과 정부의 대응 노력을 설명했다. 김 위원장은 한국 정부가 추진하는 자본시장 선진화 계획을 강조하며 금융당국과의... ",2025-04-23 12:00:00+09:00
EU 등 규제완화에…금융위 부위원장 &quot;ESG공시 주요국 변화 고려&quot;,https://www.yna.co.kr/view/AKR20250423068300002?input=1195m,김소영 금융위 부위원장은 23일 서울 여의도 금융투자협회에서 'ESG 금융추진단 제5차 회의'를 개최하고 &quot;최근 <b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시 수준 조정 움직임이 있는 만큼 이를 고려해... ,2025-04-23 12:00:00+09:00
김병환 MSCI에 &quot;외국인 시장접근성 향상 정책노력 평가&quot; 당부,https://www.yna.co.kr/view/AKR20250423085700002?input=1195m,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있고, 앞으로도 불확실성이 지속될 수 있다는 점에도 공감했다.... ",2025-04-23 12:00:00+09:00
금융위 “ESG 공시기준 완화 국제 흐름 고려해 로드맵 결정”…거래소와...,https://biz.heraldcorp.com/article/10471825?ref=naver,"다만 최근 <b>상호관세</b> 등 경제 전반의 불확실성과 주요국에서 공시수준 조정 움직임이 있는 만큼, 주요국 동향 변화를 면밀히 파악할 것을 주문했다. 이날 거래소는 EU의 옴니버스 패키지 추진과 일본의 최종 공시기준... ",2025-04-23 12:00:00+09:00
"&quot;ESG 정보 제공 요구 높은 기업, 최초 공시 시행 시기 논의해야&quot;",https://www.news1.kr/finance/general-stock/5762153,김 부위원장은 &quot;많은 투자자가 기후 리스크 관리 차원에서 지속가능성 공시 정보를 요구하고 있어 국내 자본시장에서도 주요국과 마찬가지로 지속가능성 공시가 필요한 상황&quot;이라면서도 &quot;최근 <b>상호관세</b> 등 경제 전반의... ,2025-04-23 12:00:00+09:00
"김병환 금융위원장, 미국에서 바이오투자 활성화·금융협력 강화 모색",http://www.consumernews.co.kr/news/articleView.html?idxno=731015,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대 국가들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있으며, 앞으로도 불확실성이 지속될 수 있다는 점에 공감했다. 김... ",2025-04-23 12:00:00+09:00
[주한 대사를 만나다]&quot;EU는 신뢰할 수 있는 韓 파트너…양국 윈윈&quot;,https://view.asiae.co.kr/article/2025042309533579545,최근 미국이 고율의 '<b>관세</b> 폭탄'을 발표하며 무역 전쟁이 시작될 수 있다는 우려가 나오고 있다. 대미 통상을... 비즈니스에서도 <b>상호</b> 협력이 증대될 수 있도록 도와야 하며 인적 교류도 강화할 필요가 있다. (주한 EU... ,2025-04-23 12:00:00+09:00
"금융당국 &quot;지속가능성 공시, 주요국 동향 보며 공시 기준과 로드맵 결정...",https://www.newspim.com/news/view/20250423000360,"다만 &quot;최근 <b>상호관세</b> 등 경제 전반의 불확실성이 상존하고 주요국에서 공시수준 조정 움직임이 있는 만큼, 관계기관과 함께 주요국 동향 변화를 면밀히 파악하는 한편, 기업의 준비상황 등도 충분히 감안하여 원활한... ",2025-04-23 12:00:00+09:00
"금융위원장, '트럼프 경제교사' 블랙스톤 회장 회동…&quot;韓 진출 고려&quot;",https://biz.sbs.co.kr/article_hub/20000230375?division=NAVER,"김 위원장과 슈워츠먼 회장은 미국 <b>상호관세</b> 부과와 상대국들의 대응으로 인한 인플레이션과 경기위축 우려 등이 글로벌 금융시장에 큰 영향을 미치고 있으며, 앞으로도 불확실성이 지속될 수 있다는 점에... ",2025-04-23 12:00:00+09:00
“中 잘 대해 줄 것” “파월 해고 안해”… 시장 달래는 트럼프,https://www.munhwa.com/article/11500981?ref=naver,“미국은 <b>관세</b>를 무기로 각국을 무차별 공격해 세계무역기구(WTO) 규칙을 공공연히 위반하고 각국의 정당한 권익을 해치고 있다”며 “중국은 높은 수준의 대외개방을 고수하고 각국과 <b>상호</b>이익·윈윈협력을 지속하면서... ,2025-04-23 11:58:00+09:00
[휘낭시에 카페] 엔화가 뜬다는데...외화 재테크 어떻게 하나요?,https://www.ntoday.co.kr/news/articleView.html?idxno=115080,【투데이신문 문영서 기자】 미국 트럼프 행정부의 <b>상호관세</b> 정책에 따른 경기 침체 우려가 커지면서 투자자들 사이에서 달러 대신 엔화가 새로운 안전 자산으로 주목받고 있습니다. 달러 약세가 이어지며 상대적으로... ,2025-04-23 11:56:00+09:00
"경기도, 반도체산업 위기 극복을 위한 소통의 장 마련",http://www.fieldnews.kr/news/articleView.html?idxno=15867,시군 및 소속 공공기관 등 반도체 분야 재직자들이 기관별로 정책이나 주요 현안 등을 공유하며 <b>상호</b>... 홍성호 경기도 반도체산업과장은 &quot;트럼프발 품목별 <b>관세</b> 부과 예고에 따른 반도체 분야 불확실성이 지속될 것으로... ,2025-04-23 11:54:00+09:00
"美법원, <b>관세</b> 효력정지 가처분 신청 기각…&quot;중소기업 피해 입증 못해&quot;",http://www.edaily.co.kr/news/newspath.asp?newsid=02889686642139072,미국 국제무역법원(CIT)은 22일(현지시간) 미국 중소기업 5개사가 트럼프 대통령의 <b>상호관세</b> 부과가 불법이라며 소송을 제기하며 관세 조치 효력 정지 가처분을 신청한 것과 관련해 소송이 진행되는 동안 관세를 유지할 수... ,2025-04-23 11:54:00+09:00
"중, 휴머노이드 마라톤 대회 이어… 축구·농구 등 ‘로봇 운동회’ 연...",https://www.munhwa.com/article/11500945?ref=naver,"미국과 <b>관세</b> 전쟁 중인 중국이 로봇 굴기에 가속도를 가하는 것이어서 주목된다. 22일 중국 관영... 체화지능(embodied intelligence)은 실제 환경과 <b>상호</b> 작용하는 신체를 가진 인공지능(AI)으로, 중국 정부는 지난달 양회... ",2025-04-23 11:53:00+09:00
"트럼프 한발 물러서자 美자산 투심 회복…달러 반등, 금값은 하락",http://www.joseilbo.com/news/news_read.php?uid=541728&class=42&grp=,"이번 발언은 트럼프 대통령이 이달 초 대부분 국가에 <b>상호관세</b>를 발표하고 대중(對中) 관세를 인상한 이후, 금융시장이 크게 출렁이고 세계 경기 침체 우려가 확산되는 가운데 나온 것으로, 그의 대중 무역 정책이 다소... ",2025-04-23 11:45:00+09:00
